Sample	cat16-40.trees	cat16-40.sequence05_sequence11_sequence12_sequence13_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-40.sequence04_sequence16_sequence15	cat16-40.sequence05_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-40.sequence13_sequence02_sequence09_sequence06	cat16-40.sequence05_sequence04_sequence11_sequence12_sequence13_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-40.sequence01_sequence14_sequence03	cat16-40.sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence15	cat16-40.sequence05_sequence04_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-40.sequence01_sequence07_sequence03	
0	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
1	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
2	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
3	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
4	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
5	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
6	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
7	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
8	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
9	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
10	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
11	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
12	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
13	28.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
14	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
15	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
16	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
17	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
18	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
19	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
20	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
21	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
22	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
23	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
24	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
25	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
26	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
27	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
28	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
29	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
30	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
31	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
32	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
33	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
34	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
35	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
36	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
37	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
38	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
39	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
40	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
41	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
42	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
43	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
44	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
45	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
46	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
47	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
48	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
49	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
50	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
51	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
52	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
53	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
54	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
55	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
56	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
57	30.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	
