Sample	cat16-77.trees	cat16-77.sequence14_sequence07_sequence13_sequence09	cat16-77.sequence04_sequence14_sequence07_sequence13_sequence15	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence04_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	
0	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
1	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
2	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
3	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
4	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
5	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
6	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
7	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
8	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
9	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
10	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
11	28.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
12	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
13	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
14	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
15	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
16	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
17	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
18	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
19	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
20	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
21	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
22	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
23	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
24	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
25	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
26	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
27	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
28	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
29	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
30	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
31	30.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
32	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
